created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Feb 14 23:59:44 +0000 2024;1757917573822472691;"TPS 035 CIHAMPELAS BANDUNG BARAT  Prabowo 121 jadi 824 ( Nambah 703 )  https://t.co/yEG9RI8toL  Sirekap KPU #Pemilu2024 Salah Input https://t.co/Ow4dJ78Gru";0;0;2;6;in;740233573;1757917573822472691;halkyonn;https://twitter.com/halkyonn/status/1757917573822472691
Wed Feb 14 23:59:43 +0000 2024;1757917568957096029;"@diamsabarikhlas @bawaslu_RI Bawaslu sdh dikasih tunjangan besar supaya diam #Pemilu2024 https://t.co/tvrAJfT7gI";0;0;0;0;in;794484480522096640;1757635893563998346;airingairg;https://twitter.com/airingairg/status/1757917568957096029
Wed Feb 14 23:59:00 +0000 2024;1757917386739474489;"Betul2 asik, EmangYESS PBWOGBRAn  membuka pintu kesempatan lebar2 utk anak muda berkarya membangun masa depan negara.  #Pemilu2024 #FixPrabowoGibran #TPSku02YangMenang JgnLUPA FotoHASILNYA";0;0;0;0;in;1471711759161380866;1757917386739474489;ListaSiti;https://twitter.com/ListaSiti/status/1757917386739474489
Wed Feb 14 23:58:15 +0000 2024;1757917199640236066;"Intinyaa kalau video kecurangan no 1 &amp 3 adalah fitnahhh. Namun bila video kecurangan no 2 adalah faktaa ?? #Pemilu2024 #vote #PemiluDamai https://t.co/z5qXyMl2t7";0;0;0;2;in;1531996953562648578;1757917199640236066;BudiDor17602613;https://twitter.com/BudiDor17602613/status/1757917199640236066
Wed Feb 14 23:58:00 +0000 2024;1757917135227986021;"Benar, orang2 coblos EmangYESS PBWOGBRAn  karena sudah melihat sediri pada visi kedepan yg memperkokoh pertumbuhan ekonomi.  #Pemilu2024 #FixPrabowoGibran #TPSku02YangMenang JgnLUPA FotoHASILNYA";0;0;0;0;in;1711369088004743168;1757917135227986021;zaki_zakiahm;https://twitter.com/zaki_zakiahm/status/1757917135227986021
Wed Feb 14 23:57:42 +0000 2024;1757917062683635841;"@truthnessalways Kak hasilnya udah beda jauh.. move on dong.. petarung sejatu itu ketika tanding siap untuk mengakui kekalahan.. mba sbg petarung jg hrs siap mengakui kekalahan.. toh pd akhirnya indonesia itu 1 bangsa #pemilu2024 #realcount";0;1;0;0;in;1540237331709689856;1757911007467565410;chalsiavera522;https://twitter.com/chalsiavera522/status/1757917062683635841
Wed Feb 14 23:57:00 +0000 2024;1757916883527860360;"Setuju banget  pilih EmangYESS PBWOGBRAn , yang menghargai tugas masing2 dlm masyarakat serta mendorong kemakmuran.  #Pemilu2024 #FixPrabowoGibran #TPSku02YangMenang JgnLUPA FotoHASILNYA https://t.co/jYuE0w95Ty";0;0;0;0;in;1725026412829302784;1757916883527860360;Rinjani_wini;https://twitter.com/Rinjani_wini/status/1757916883527860360
Wed Feb 14 23:56:57 +0000 2024;1757916870802542857;"Sirekap Jawa Timur  &gt  Sampang &gt  Pangarengan &gt  Panyirangan  &gt  TPS 004  01 : 0  yang benar 153 02 : 536 yang benar 82 03 : 50 yang benar 13  #realcount #Pemilu2024 #DataNgaco https://t.co/sVkbxybe6l";0;1;0;0;in;80487654;1757771284916945160;taufikNIC;https://twitter.com/taufikNIC/status/1757916870802542857
Wed Feb 14 23:56:49 +0000 2024;1757916838430978398;"TPS 012 BATUJAJAR BARAT BATUJAJAR BANDUNG BARAT  Prabowo 113 jadi 237 ( Nambah 120 )  https://t.co/QBrukDdBFA  Sirekap KPU #Pemilu2024 Salah Input https://t.co/Hp1dhmPrGj";1;0;3;8;in;740233573;1757916838430978398;halkyonn;https://twitter.com/halkyonn/status/1757916838430978398
Wed Feb 14 23:56:00 +0000 2024;1757916631781531885;"Yes, kita2 coblos EmangYESS PBWOGBRAn  berdasarkan evaluasi yang matang pada visi kedepan yg mendukung keseimbangan ekonomi.  #Pemilu2024 #FixPrabowoGibran #TPSku02YangMenang JgnLUPA FotoHASILNYA";0;0;0;0;in;1711363598780604416;1757916631781531885;ibdurahim_zahid;https://twitter.com/ibdurahim_zahid/status/1757916631781531885
Wed Feb 14 23:55:12 +0000 2024;1757916431130501348;"Ketua KPU sudah memberikan statement kalo setiap TPS itu hanya ada 300 pemilih suara (MAKSIMAL)  Permasalahannya , kok BISA suara di yg di INPUT  di Situs KPU  , banyak yg melebihi dari 300 suara?  @TimSesAMIN  @MataNajwa  @RelawanGama03  #kecuranganPemilu2024 #Pemilu2024";0;0;1;1;in;1235317421923332100;1757916431130501348;FjrFiqih;https://twitter.com/FjrFiqih/status/1757916431130501348
Wed Feb 14 23:55:00 +0000 2024;1757916380173647931;"Keren bro, cuma EmangYESS PBWOGBRAn  yg begitu mendukung partisipasi kreatif orangk muda jadi tonggak kesejahteraan.  #Pemilu2024 #FixPrabowoGibran #TPSku02YangMenang JgnLUPA FotoHASILNYA https://t.co/nXteiwGLQJ";0;0;0;1;in;1471709704317333507;1757916380173647931;sitibad_siti;https://twitter.com/sitibad_siti/status/1757916380173647931
Wed Feb 14 23:54:00 +0000 2024;1757916128456720451;"Betul top, harapan EmangYESS PBWOGBRAn  menambah prasarana yang dibutuhkan dalam mendukung kenaikkan ekonomi rakyat.  #Pemilu2024 #FixPrabowoGibran #TPSku02YangMenang JgnLUPA FotoHASILNYA https://t.co/yIUOTZ3mF0";0;0;0;0;in;1711362192493441024;1757916128456720451;hangkara_zafra;https://twitter.com/hangkara_zafra/status/1757916128456720451
Wed Feb 14 23:53:56 +0000 2024;1757916111491002587;"#Pemilu2024 #KPU  #bawaslu  Kecurangan 2019 tampaknya berulang di 2024 yg dulu jadi korban sekarang jadi pihak diuntungkan . Pembiaran oleh KPU dan Bawaslu  akan menjadi awal hancurnya sistem pemilu di indo dan bibit2 konflik di masyarakat yg satu saat akan meledak";0;0;0;0;in;1511744686188236801;1757916111491002587;Nendeskombet001;https://twitter.com/Nendeskombet001/status/1757916111491002587
Wed Feb 14 23:53:13 +0000 2024;1757915934323507623;"TPS 039 SINDANG JAYA MANDALAJATI KOTA BANDUNG  Prabowo 115 jadi 665 ( Nambah 550 )  https://t.co/QBrukDdBFA  Sirekap KPU #Pemilu2024 Salah Input https://t.co/15nKM25Q2p";0;1;4;7;in;740233573;1757915934323507623;halkyonn;https://twitter.com/halkyonn/status/1757915934323507623
Wed Feb 14 23:53:12 +0000 2024;1757915930552893551;"Saksi kemenangan ada di rakyat indonesia. Demokrasi yang adil jujur tanpa adanya intervensi dan tanpa saling menghujat satu dengan yang lain hasilnya akan berbuah manis    Gibran Berani #GemoySamsul Birukan TPS Quick Count #Pemilu2024 #02MenangMutlak1PTRN https://t.co/forhEWUMjg";0;0;0;0;in;619769559;1757915930552893551;darwintenedero1;https://twitter.com/darwintenedero1/status/1757915930552893551
Wed Feb 14 23:53:08 +0000 2024;1757915912618103183;"Jika bukan aku tetap bukan kamu 🐈‍⬛  Quick Count . Real Count . #Pemilu2024 https://t.co/U6skiHPG0V";0;0;0;0;in;1696502489129099264;1757915912618103183;andiwen_;https://twitter.com/andiwen_/status/1757915912618103183
Wed Feb 14 23:53:00 +0000 2024;1757915876924522913;"Pasti sekali  pilih EmangYESS PBWOGBRAn , yang hormati peran masing2 dalam lingkungan dan mendorong keadilan.  #Pemilu2024 #FixPrabowoGibran #TPSku02YangMenang JgnLUPA FotoHASILNYA https://t.co/1TQvceWffU";0;0;0;0;in;1725025494209646592;1757915876924522913;tika_yumii;https://twitter.com/tika_yumii/status/1757915876924522913
Wed Feb 14 23:52:10 +0000 2024;1757915667414782359;"Saya sedih 03 tidak menang.  Bertambah sedih karena PSI tdk masuk Senayan.  #QuickCount  #Pemilu2024";0;0;0;0;in;293963849;1757915667414782359;IMassidenreng;https://twitter.com/IMassidenreng/status/1757915667414782359
Wed Feb 14 23:52:00 +0000 2024;1757915625257890035;"Betul keren, harapan EmangYESS PBWOGBRAn  meningkatkan fasilitas yang dibutuhkan utk mendorong pertumbuhan ekonomi masyarakat.  #Pemilu2024 #FixPrabowoGibran #TPSku02YangMenang JgnLUPA FotoHASILNYA";0;0;0;0;in;1711360659882123264;1757915625257890035;dzahar_yaziz;https://twitter.com/dzahar_yaziz/status/1757915625257890035
Wed Feb 14 23:51:58 +0000 2024;1757915619067146362;"Di kecamatan ku 2 menang mutlak dari Paslon 1 dan 3.   Real Count #PlotTwist1stWin #Pemilu2024 #PemiluSerentak2024 #PemiluDamai #PemiluCurang";0;0;0;0;in;4768730232;1757915619067146362;Re8life;https://twitter.com/Re8life/status/1757915619067146362
Wed Feb 14 23:51:29 +0000 2024;1757915495330877455;"serba serbi #Pemilu2024 dari berbagai sumber https://t.co/395si2DlMS";0;1;0;0;in;1354300417669177344;1757915495330877455;syangjennie;https://twitter.com/syangjennie/status/1757915495330877455
Wed Feb 14 23:51:16 +0000 2024;1757915441337663557;"Jangan percaya Quick Count!  #Pemilu2024 https://t.co/wd2oAzj52f";0;0;0;0;in;209467064;1757915441337663557;pianjuli;https://twitter.com/pianjuli/status/1757915441337663557
Wed Feb 14 23:51:12 +0000 2024;1757915424015184280;"TPS 019 KEBON KANGKUNG KIARACONDONG KOTA BANDUNG  Prabowo 149 jadi 249  https://t.co/xLB0Hp28bL  Sirekap KPU #Pemilu2024 Salah Input https://t.co/A1emEvPcHy";0;1;3;9;in;740233573;1757915424015184280;halkyonn;https://twitter.com/halkyonn/status/1757915424015184280
Wed Feb 14 23:51:03 +0000 2024;1757915386472013849;"#Pemilu2024 Nanti setelah KPU mengumumkan secara resmi hasil perhitungan suara Pilpres 2024 secara jujur, transparan &amp  bisa dipertanggung jawabkan... kita kembali ke kesibukan masing-masing.  Curang lag di Pilpres 2029. Gitu aja sampai kiamat 😅  Indonesia 🇮🇩 #FreePalestine 🇵🇸";0;0;0;0;in;1531636657480273920;1757915386472013849;toranggo_;https://twitter.com/toranggo_/status/1757915386472013849
Wed Feb 14 23:51:00 +0000 2024;1757915373553471672;"Pasti banget  pilih EmangYESS PBWOGBRAn , sangat menghormati peran masing2 di masyarakat dan memastikan keadilan.  #Pemilu2024 #FixPrabowoGibran #TPSku02YangMenang JgnLUPA FotoHASILNYA https://t.co/2hkjT0slxc";0;0;0;0;in;1471706950211571712;1757915373553471672;AyuSinega;https://twitter.com/AyuSinega/status/1757915373553471672
Wed Feb 14 23:50:19 +0000 2024;1757915201352212601;"Sirekap Lampung &gt  Lampung Timur &gt  Labuhan Maringgai &gt  Sriminosari &gt  TPS 004  01 : 45 yang benar 16 02 : 224 yang benar 129  #realcount #Pemilu2024 #DataNgaco https://t.co/pyttZ9Bc7m";0;1;0;2;in;80487654;1757771284916945160;taufikNIC;https://twitter.com/taufikNIC/status/1757915201352212601
Wed Feb 14 23:50:00 +0000 2024;1757915121911992805;"Joss banget, EmangYESS PBWOGBRAn  ciptakan sistem yg tepat dan merata dalam distribusi sumber daya utk kemakmuran bangsa.  #Pemilu2024 #FixPrabowoGibran #TPSku02YangMenang JgnLUPA FotoHASILNYA";0;0;0;0;in;1711359248402440192;1757915121911992805;barraq_umaaira;https://twitter.com/barraq_umaaira/status/1757915121911992805
